"","symbol","cases","ctrls","Odds ratio","95% CIs","P value","Adj. P value"
"TXNRD3","TXNRD3",15,16,5.834,"2.678-12.644",4.62039990513114e-06,0.0890905509707386
"TXNRD3NB","TXNRD3NB",0,3,0,"0-14.893",1,1
"TYK2","TYK2",6,18,2.056,"0.667-5.423",0.134520332742599,1
"TYMP","TYMP",4,11,2.241,"0.52-7.581",0.146976758973893,1
"TYMS","TYMS",1,6,1.025,"0.022-8.464",1,1
"TYR","TYR",2,28,0.438,"0.051-1.743",0.423930810749317,1
"TYRO3","TYRO3",2,15,0.82,"0.091-3.534",1,1
"TYROBP","TYROBP",1,0,Inf,"0.158-Inf",0.139835645965243,1
"TYRP1","TYRP1",4,20,1.231,"0.305-3.685",0.765639688844986,1
"TYSND1","TYSND1",5,19,1.622,"0.472-4.503",0.369253344532591,1
"TYW1","TYW1",3,20,0.922,"0.175-3.119",1,1
"TYW1B","TYW1B",2,12,1.025,"0.111-4.615",1,1
"TYW3","TYW3",1,10,0.615,"0.014-4.33",1,1
"TYW5","TYW5",4,12,2.054,"0.482-6.795",0.265087990681448,1
"U2AF1","U2AF1",0,2,0,"0-32.757",1,1
"U2AF1L4","U2AF1L4",0,8,0,"0-3.605",0.610068929015988,1
"U2AF2","U2AF2",0,3,0,"0-14.893",1,1
"U2SURP","U2SURP",2,10,1.231,"0.131-5.787",0.679878101976289,1
"U82695.9","U82695.9",1,6,1.025,"0.022-8.464",1,1
"UACA","UACA",5,42,0.731,"0.225-1.851",0.673205085426598,1
"UAP1","UAP1",2,11,1.119,"0.12-5.136",0.701727828969992,1
"UAP1L1","UAP1L1",2,30,0.409,"0.047-1.616",0.305198154330538,1
"UBA1","UBA1",5,11,2.804,"0.762-8.776",0.0613514563256166,1
"UBA2","UBA2",0,2,0,"0-32.757",1,1
"UBA3","UBA3",3,17,1.086,"0.204-3.763",0.752971839014173,1
"UBA5","UBA5",2,8,1.539,"0.159-7.725",0.639392254739406,1
"UBA52","UBA52",0,1,0,"0-239.007",1,1
"UBA6","UBA6",3,15,1.231,"0.228-4.362",0.731093398242643,1
"UBA7","UBA7",5,23,1.339,"0.397-3.611",0.5813206626191,1
"UBAC1","UBAC1",0,20,0,"0-1.244",0.0991432732462037,1
"UBAC2","UBAC2",0,7,0,"0-4.27",0.603344925597232,1
"UBALD1","UBALD1",0,4,0,"0-9.323",1,1
"UBALD2","UBALD2",0,2,0,"0-32.757",1,1
"UBAP1","UBAP1",1,20,0.307,"0.007-1.923",0.346199230039828,1
"UBAP1L","UBAP1L",0,11,0,"0-2.451",0.381372621441588,1
"UBAP2","UBAP2",9,26,2.139,"0.879-4.726",0.0520586082166697,1
"UBAP2L","UBAP2L",2,29,0.423,"0.049-1.677",0.303503669734689,1
"UBASH3A","UBASH3A",4,27,0.911,"0.231-2.622",1,1
"UBASH3B","UBASH3B",1,18,0.341,"0.008-2.165",0.50323536378801,1
"UBB","UBB",0,5,0,"0-6.716",1,1
"UBBP4","UBBP4",3,17,1.086,"0.204-3.763",0.752971839014173,1
"UBC","UBC",1,6,1.025,"0.022-8.464",1,1
"UBD","UBD",1,3,2.051,"0.039-25.583",0.452645520331089,1
"UBE2B","UBE2B",0,2,0,"0-32.757",1,1
"UBE2C","UBE2C",2,2,6.159,"0.446-85.26",0.0965477767420391,1
"UBE2D1","UBE2D1",0,2,0,"0-32.757",1,1
"UBE2D4","UBE2D4",1,2,3.077,"0.052-59.188",0.363621084433827,1
"UBE2E2","UBE2E2",1,1,6.154,"0.078-481.339",0.260133490143103,1
"UBE2F","UBE2F",0,3,0,"0-14.893",1,1
"UBE2G1","UBE2G1",0,1,0,"0-239.007",1,1
"UBE2G2","UBE2G2",0,2,0,"0-32.757",1,1
"UBE2H","UBE2H",0,2,0,"0-32.757",1,1
"UBE2I","UBE2I",0,1,0,"0-239.007",1,1
"UBE2J1","UBE2J1",0,7,0,"0-4.27",0.603344925597232,1
"UBE2J2","UBE2J2",2,4,3.079,"0.278-21.514",0.199849978045513,1
"UBE2L6","UBE2L6",0,3,0,"0-14.893",1,1
"UBE2M","UBE2M",0,1,0,"0-239.007",1,1
"UBE2N","UBE2N",0,1,0,"0-239.007",1,1
"UBE2NL","UBE2NL",2,1,12.317,"0.641-723.543",0.0531583015616563,1
"UBE2O","UBE2O",8,27,1.829,"0.716-4.152",0.139866683928166,1
"UBE2Q1","UBE2Q1",3,7,2.64,"0.44-11.587",0.154003911264573,1
"UBE2Q2","UBE2Q2",1,11,0.559,"0.013-3.852",1,1
"UBE2Q2L","UBE2Q2L",0,4,0,"0-9.323",1,1
"UBE2QL1","UBE2QL1",0,1,0,"0-239.007",1,1
"UBE2R2","UBE2R2",0,3,0,"0-14.893",1,1
"UBE2S","UBE2S",1,8,0.769,"0.017-5.744",1,1
"UBE2T","UBE2T",0,6,0,"0-5.227",1,1
"UBE2U","UBE2U",3,6,3.081,"0.498-14.447",0.11971330756652,1
"UBE2V1","UBE2V1",0,4,0,"0-9.323",1,1
"UBE2V2","UBE2V2",1,3,2.051,"0.039-25.583",0.452645520331089,1
"UBE2W","UBE2W",0,4,0,"0-9.323",1,1
"UBE2Z","UBE2Z",0,5,0,"0-6.716",1,1
"UBE3A","UBE3A",0,2,0,"0-32.757",1,1
"UBE3B","UBE3B",4,35,0.702,"0.181-1.969",0.646196391999808,1
"UBE3C","UBE3C",4,14,1.76,"0.421-5.62",0.30354301091107,1
"UBE3D","UBE3D",2,12,1.025,"0.111-4.615",1,1
"UBE4A","UBE4A",1,17,0.361,"0.009-2.31",0.497844008879486,1
"UBE4B","UBE4B",5,27,1.14,"0.342-3.012",0.797058416412435,1
"UBFD1","UBFD1",0,5,0,"0-6.716",1,1
"UBIAD1","UBIAD1",1,10,0.615,"0.014-4.33",1,1
"UBL3","UBL3",1,1,6.154,"0.078-481.339",0.260133490143103,1
"UBL4A","UBL4A",0,1,0,"0-239.007",1,1
"UBL4B","UBL4B",0,6,0,"0-5.227",1,1
"UBL5","UBL5",0,1,0,"0-239.007",1,1
"UBL7","UBL7",1,8,0.769,"0.017-5.744",1,1
"UBLCP1","UBLCP1",0,3,0,"0-14.893",1,1
"UBN1","UBN1",10,27,2.29,"0.986-4.9",0.0307001694372348,1
"UBN2","UBN2",14,37,2.345,"1.167-4.46",0.0126570764132578,1
"UBOX5","UBOX5",2,14,0.879,"0.097-3.834",1,1
"UBP1","UBP1",0,10,0,"0-2.745",0.375510171744492,1
"UBQLN1","UBQLN1",0,11,0,"0-2.451",0.381372621441588,1
"UBQLN2","UBQLN2",2,7,1.759,"0.178-9.255",0.365109577660504,1
"UBQLN3","UBQLN3",4,13,1.896,"0.449-6.153",0.282760427400664,1
"UBQLN4","UBQLN4",1,15,0.41,"0.01-2.667",0.714917673307461,1
"UBQLNL","UBQLNL",2,8,1.539,"0.159-7.725",0.639392254739406,1
"UBR1","UBR1",9,35,1.587,"0.669-3.38",0.196077836018173,1
"UBR2","UBR2",7,17,2.543,"0.889-6.471",0.0677371628519193,1
"UBR3","UBR3",5,30,1.025,"0.31-2.677",1,1
"UBR4","UBR4",20,124,0.992,"0.583-1.608",1,1
"UBR5","UBR5",8,37,1.333,"0.534-2.918",0.514811417002869,1
"UBR7","UBR7",2,8,1.539,"0.159-7.725",0.639392254739406,1
"UBTD1","UBTD1",1,8,0.769,"0.017-5.744",1,1
"UBTD2","UBTD2",3,8,2.31,"0.394-9.644",0.190882615970189,1
"UBTF","UBTF",1,5,1.23,"0.026-11.012",0.595101749677219,1
"UBXN1","UBXN1",2,6,2.052,"0.202-11.499",0.310577073195175,1
"UBXN10","UBXN10",2,6,2.052,"0.202-11.499",0.310577073195175,1
"UBXN11","UBXN11",1,15,0.41,"0.01-2.667",0.714917673307461,1
"UBXN2A","UBXN2A",0,4,0,"0-9.323",1,1
"UBXN2B","UBXN2B",0,10,0,"0-2.745",0.375510171744492,1
"UBXN4","UBXN4",1,2,3.077,"0.052-59.188",0.363621084433827,1
"UBXN6","UBXN6",6,30,1.232,"0.418-3.017",0.628645636716728,1
"UBXN7","UBXN7",3,5,3.698,"0.573-19.033",0.0887155240281463,1
"UCHL1","UCHL1",0,6,0,"0-5.227",1,1
"UCHL3","UCHL3",1,6,1.025,"0.022-8.464",1,1
"UCHL5","UCHL5",1,6,1.025,"0.022-8.464",1,1
"UCK1","UCK1",1,9,0.683,"0.016-4.939",1,1
"UCK2","UCK2",0,3,0,"0-14.893",1,1
"UCKL1","UCKL1",5,18,1.712,"0.496-4.798",0.358532331212776,1
"UCMA","UCMA",1,1,6.154,"0.078-481.339",0.260133490143103,1
"UCN","UCN",0,2,0,"0-32.757",1,1
"UCN2","UCN2",3,7,2.64,"0.44-11.587",0.154003911264573,1
"UCN3","UCN3",1,3,2.051,"0.039-25.583",0.452645520331089,1
"UCP1","UCP1",1,8,0.769,"0.017-5.744",1,1
"UCP2","UCP2",2,10,1.231,"0.131-5.787",0.679878101976289,1
"UCP3","UCP3",1,11,0.559,"0.013-3.852",1,1
"UEVLD","UEVLD",2,14,0.879,"0.097-3.834",1,1
"UFC1","UFC1",3,9,2.053,"0.357-8.245",0.22966252990832,1
"UFD1L","UFD1L",1,4,1.538,"0.031-15.557",0.529226454405268,1
"UFL1","UFL1",5,19,1.622,"0.472-4.503",0.369253344532591,1
"UFM1","UFM1",0,2,0,"0-32.757",1,1
"UFSP1","UFSP1",2,11,1.119,"0.12-5.136",0.701727828969992,1
"UFSP2","UFSP2",2,10,1.231,"0.131-5.787",0.679878101976289,1
"UGCG","UGCG",1,2,3.077,"0.052-59.188",0.363621084433827,1
"UGDH","UGDH",2,5,2.463,"0.234-15.066",0.255111685903417,1
"UGGT1","UGGT1",7,25,1.727,"0.629-4.121",0.199718418580893,1
"UGGT2","UGGT2",8,48,1.025,"0.418-2.195",0.848477313184092,1
"UGP2","UGP2",3,6,3.081,"0.498-14.447",0.11971330756652,1
"UGT1A1","UGT1A1",2,23,0.534,"0.061-2.167",0.566040083512449,1
"UGT1A10","UGT1A10",4,22,1.119,"0.28-3.304",0.777283883271066,1
"UGT1A3","UGT1A3",2,20,0.614,"0.07-2.536",0.758980955567048,1
"UGT1A4","UGT1A4",2,17,0.723,"0.081-3.054",1,1
"UGT1A5","UGT1A5",0,15,0,"0-1.714",0.251141686836283,1
"UGT1A6","UGT1A6",2,12,1.025,"0.111-4.615",1,1
"UGT1A7","UGT1A7",2,14,0.879,"0.097-3.834",1,1
"UGT1A8","UGT1A8",2,20,0.614,"0.07-2.536",0.758980955567048,1
"UGT1A9","UGT1A9",1,16,0.384,"0.009-2.476",0.496145436788319,1
"UGT2A1","UGT2A1",1,15,0.41,"0.01-2.667",0.714917673307461,1
"UGT2A2","UGT2A2",1,22,0.279,"0.007-1.729",0.238930332860639,1
"UGT2A3","UGT2A3",1,12,0.512,"0.012-3.468",1,1
"UGT2B10","UGT2B10",5,8,3.857,"0.991-13.403",0.025799803270128,1
"UGT2B11","UGT2B11",3,29,0.635,"0.124-2.055",0.612234109145144,1
"UGT2B15","UGT2B15",5,20,1.54,"0.451-4.242",0.382532454514752,1
"UGT2B17","UGT2B17",1,7,0.879,"0.019-6.851",1,1
"UGT2B28","UGT2B28",6,22,1.681,"0.556-4.289",0.269597015607519,1
"UGT2B4","UGT2B4",5,18,1.712,"0.496-4.798",0.358532331212776,1
"UGT2B7","UGT2B7",3,19,0.971,"0.184-3.308",1,1
"UGT3A1","UGT3A1",5,23,1.339,"0.397-3.611",0.5813206626191,1
"UGT3A2","UGT3A2",2,12,1.025,"0.111-4.615",1,1
"UGT8","UGT8",2,12,1.025,"0.111-4.615",1,1
"UHMK1","UHMK1",2,11,1.119,"0.12-5.136",0.701727828969992,1
"UHRF1BP1","UHRF1BP1",14,35,2.48,"1.228-4.748",0.00638703605659623,1
"UHRF1BP1L","UHRF1BP1L",10,33,1.872,"0.82-3.904",0.11725044478304,1
"UHRF2","UHRF2",5,15,2.055,"0.583-5.965",0.185648735666623,1
"UIMC1","UIMC1",5,12,2.57,"0.708-7.859",0.0772889142146978,1
"ULBP1","ULBP1",0,4,0,"0-9.323",1,1
"ULBP2","ULBP2",1,3,2.051,"0.039-25.583",0.452645520331089,1
"ULBP3","ULBP3",3,5,3.698,"0.573-19.033",0.0887155240281463,1
"ULK1","ULK1",8,45,1.094,"0.444-2.354",0.841715886027026,1
"ULK2","ULK2",3,22,0.838,"0.16-2.798",1,1
"ULK3","ULK3",4,25,0.984,"0.248-2.859",1,1
"ULK4","ULK4",8,43,1.145,"0.464-2.474",0.685720577020166,1
"UMOD","UMOD",3,20,0.922,"0.175-3.119",1,1
"UMODL1","UMODL1",10,53,1.162,"0.525-2.318",0.58829443007399,1
"UMPS","UMPS",1,8,0.769,"0.017-5.744",1,1
"UNC119","UNC119",3,8,2.31,"0.394-9.644",0.190882615970189,1
"UNC119B","UNC119B",1,10,0.615,"0.014-4.33",1,1
"UNC13A","UNC13A",9,42,1.321,"0.564-2.763",0.419090229436107,1
"UNC13B","UNC13B",17,58,1.816,"0.987-3.177",0.0423209150221942,1
"UNC13C","UNC13C",8,76,0.645,"0.268-1.341",0.270854092252116,1
"UNC13D","UNC13D",16,43,2.309,"1.209-4.202",0.00717145811590044,1
"UNC45A","UNC45A",8,30,1.645,"0.65-3.686",0.235732269299799,1
"UNC45B","UNC45B",6,31,1.192,"0.405-2.909",0.636175779234475,1
"UNC50","UNC50",1,6,1.025,"0.022-8.464",1,1
"UNC5A","UNC5A",1,19,0.323,"0.008-2.037",0.345302423023549,1
"UNC5B","UNC5B",11,43,1.58,"0.732-3.128",0.169574123349829,1
"UNC5C","UNC5C",7,15,2.883,"0.992-7.533",0.0258991458966048,1
"UNC5CL","UNC5CL",1,11,0.559,"0.013-3.852",1,1
"UNC5D","UNC5D",2,17,0.723,"0.081-3.054",1,1
"UNC79","UNC79",10,42,1.469,"0.655-2.987",0.311932471567829,1
"UNC80","UNC80",20,100,1.235,"0.72-2.021",0.424633769997832,1
"UNC93A","UNC93A",4,20,1.231,"0.305-3.685",0.765639688844986,1
"UNC93B1","UNC93B1",5,19,1.622,"0.472-4.503",0.369253344532591,1
"UNCX","UNCX",6,19,1.948,"0.635-5.088",0.14891550394642,1
"UNG","UNG",5,11,2.804,"0.762-8.776",0.0613514563256166,1
"UNK","UNK",4,18,1.368,"0.336-4.165",0.53682932860853,1
"UNKL","UNKL",11,35,1.943,"0.887-3.929",0.0831814193722952,1
"UPB1","UPB1",5,13,2.372,"0.661-7.109",0.0952232307268908,1
"UPF1","UPF1",1,7,0.879,"0.019-6.851",1,1
"UPF2","UPF2",4,13,1.896,"0.449-6.153",0.282760427400664,1
"UPF3A","UPF3A",4,18,1.368,"0.336-4.165",0.53682932860853,1
"UPF3B","UPF3B",3,13,1.421,"0.259-5.182",0.481390254039294,1
"UPK1A","UPK1A",4,11,2.241,"0.52-7.581",0.146976758973893,1
"UPK1B","UPK1B",4,8,3.083,"0.678-11.529",0.0745428741557966,1
"UPK2","UPK2",0,7,0,"0-4.27",0.603344925597232,1
"UPK3A","UPK3A",3,7,2.64,"0.44-11.587",0.154003911264573,1
"UPK3B","UPK3B",1,10,0.615,"0.014-4.33",1,1
"UPP1","UPP1",2,10,1.231,"0.131-5.787",0.679878101976289,1
"UPP2","UPP2",2,7,1.759,"0.178-9.255",0.365109577660504,1
"UPRT","UPRT",0,2,0,"0-32.757",1,1
"UQCC1","UQCC1",0,7,0,"0-4.27",0.603344925597232,1
"UQCC2","UQCC2",2,5,2.463,"0.234-15.066",0.255111685903417,1
"UQCR10","UQCR10",0,1,0,"0-239.007",1,1
"UQCR11","UQCR11",1,3,2.051,"0.039-25.583",0.452645520331089,1
"UQCRB","UQCRB",0,2,0,"0-32.757",1,1
"UQCRC1","UQCRC1",2,14,0.879,"0.097-3.834",1,1
"UQCRC2","UQCRC2",1,5,1.23,"0.026-11.012",0.595101749677219,1
"UQCRFS1","UQCRFS1",2,2,6.159,"0.446-85.26",0.0965477767420391,1
"UQCRH","UQCRH",0,3,0,"0-14.893",1,1
"UQCRQ","UQCRQ",0,3,0,"0-14.893",1,1
"URAD","URAD",2,12,1.025,"0.111-4.615",1,1
"URB1","URB1",13,69,1.161,"0.586-2.128",0.630131187099499,1
"URB2","URB2",5,32,0.961,"0.292-2.492",1,1
"URGCP","URGCP",3,20,0.922,"0.175-3.119",1,1
"URGCP-MRPS24","URGCP-MRPS24",0,3,0,"0-14.893",1,1
"URI1","URI1",4,10,2.466,"0.563-8.568",0.120439273689156,1
"URM1","URM1",2,7,1.759,"0.178-9.255",0.365109577660504,1
"UROC1","UROC1",7,36,1.197,"0.448-2.737",0.657950877814045,1
"UROD","UROD",2,6,2.052,"0.202-11.499",0.310577073195175,1
"UROS","UROS",2,8,1.539,"0.159-7.725",0.639392254739406,1
"USB1","USB1",1,8,0.769,"0.017-5.744",1,1
"USE1","USE1",2,6,2.052,"0.202-11.499",0.310577073195175,1
"USF1","USF1",0,4,0,"0-9.323",1,1
"USF2","USF2",1,8,0.769,"0.017-5.744",1,1
"USH1C","USH1C",8,39,1.264,"0.509-2.754",0.5263748669464,1
"USH1G","USH1G",3,10,1.848,"0.326-7.192",0.410568517995923,1
"USH2A","USH2A",36,198,1.123,"0.759-1.619",0.503543387589317,1
"USHBP1","USHBP1",5,18,1.712,"0.496-4.798",0.358532331212776,1
"USMG5","USMG5",0,1,0,"0-239.007",1,1
"USO1","USO1",6,17,2.178,"0.701-5.805",0.122188966328926,1
"USP1","USP1",2,5,2.463,"0.234-15.066",0.255111685903417,1
"USP10","USP10",7,21,2.057,"0.737-5.04",0.100320660083949,1
"USP11","USP11",3,6,3.081,"0.498-14.447",0.11971330756652,1
"USP12","USP12",0,1,0,"0-239.007",1,1
"USP13","USP13",5,26,1.184,"0.354-3.142",0.793547316350366,1
"USP14","USP14",1,7,0.879,"0.019-6.851",1,1
"USP15","USP15",1,12,0.512,"0.012-3.468",1,1
"USP16","USP16",4,29,0.848,"0.216-2.422",1,1
"USP17L2","USP17L2",3,11,1.679,"0.3-6.372",0.431542721818455,1
